season,player,avg_impact,matches_played,avg_batting_z,avg_bowling_z,bowled_matches
2023.0,VR Iyer,0.08407868296876773,14,0.15103580914417924,,0
2023.0,V Kohli,0.08372125267693785,14,-0.032688343083082626,,0
2023.0,RR Rossouw,0.07992170861224432,9,0.11559464341075125,,0
2023.0,B Kumar,0.07872837220591908,14,-0.30926711552636066,0.40101750810070325,14
2023.0,I Sharma,0.07473053551691373,8,-0.009911826997197323,0.3133863782671238,8
2023.0,MP Stoinis,0.07075665944246837,15,0.2143616587294723,-0.20496068669451895,5
2023.0,Dhruv Jurel,0.06067585446798871,11,0.15516460858631634,,0
2023.0,A Nortje,0.04116686925127994,10,-0.11470901886246296,0.18533736728271483,10
2023.0,DP Conway,0.019636133257977247,15,0.02756209681813265,,0
2023.0,RK Singh,0.008449861365307041,14,-0.029591098095976123,,0
2023.0,B Sai Sudharsan,-0.01437430663927658,8,0.026043580246401188,,0
2023.0,K Kartikeya,-0.015145115133580002,8,-0.08738987764796198,0.1455106229159384,8
2023.0,MK Lomror,-0.023500757152815046,11,-0.08838083310527516,0.17050732666054083,2
2023.0,Rahmanullah Gurbaz,-0.030955632109018246,11,-0.1626031348387098,,0
2023.0,N Rana,-0.03650183251057411,14,0.028863702432596307,0.0913505098522774,5
2023.0,JC Buttler,-0.03733292647947473,14,-0.1384442952432521,,0
2023.0,AK Markram,-0.03768370610116816,13,-0.25318997819510125,0.06373445687190353,5
2023.0,KR Mayers,-0.041832077637635974,13,0.07661502921170359,0.3100424142648674,6
2023.0,SN Thakur,-0.04282655894632912,10,0.12052053784505672,-0.3973485565382571,8
2023.0,KH Pandya,-0.048600948106327244,15,-0.41992394467544236,0.3246337254854243,12
2023.0,KD Karthik,-0.051758412365848515,13,-0.1906661562637241,,0
2023.0,Yash Thakur,-0.06455932084366103,9,2.6793213476515095e-17,-0.025869137812944015,9
2023.0,AT Rayudu,-0.06529625001181297,13,-0.07436199721295454,,0
2023.0,S Dhawan,-0.06748806622681218,11,-0.06560513942100438,,0
2023.0,MM Ali,-0.0747521457036775,14,-0.0392449242453465,-0.19717318805757758,11
2023.0,MR Marsh,-0.0762594086434042,9,-0.028194491301900864,-0.08779528718871868,8
2023.0,Arshdeep Singh,-0.08793297980683668,14,-0.011327802282511231,-0.09617721834368786,14
2023.0,HH Pandya,-0.09835690194904494,15,-0.04988438558727455,-0.12147651195545021,11
2023.0,KK Ahmed,-0.09984110195156207,9,2.6793213476515095e-17,-0.09589101607607982,9
2023.0,WP Saha,-0.1076172289438389,17,-0.24593161495448246,,0
2023.0,DL Chahar,-0.11088127359446623,10,-0.03026459412958018,-0.05495946585946264,10
2023.0,Abhishek Sharma,-0.11662888586771473,11,0.005152524327008462,-0.1495930074851323,5
2023.0,JO Holder,-0.1272038261791657,8,-0.0774644584577783,-0.3759377808892975,8
2023.0,PWH de Silva,-0.16607956305328916,8,-0.24333354391317885,0.1458790220422147,8
2023.0,RG Sharma,-0.17515530583890526,16,-0.1470714674339062,,0
2023.0,M Jansen,-0.20456611380391249,8,-0.5084495348199152,-0.2213909629445827,8
2023.0,HV Patel,-0.20853947682470464,13,-0.021282758571095465,-0.21030113685844357,13
2023.0,D Padikkal,-0.2358717414939557,11,-0.2637035809117615,,0
2023.0,RA Tripathi,-0.2542108397716419,13,-0.2314415561602414,,0
2023.0,MA Agarwal,-0.26382453968705744,10,-0.35724606870352693,,0
2023.0,JP Behrendorff,-0.2724152304782658,12,-0.0954851393183452,-0.15596638369741037,12
2023.0,DA Warner,-0.28544939874798325,14,-0.35702456892321843,,0
2023.0,DJ Hooda,-0.28802993148487394,12,-0.5042324898452343,0.15776158245673164,1
2023.0,AD Russell,-0.2967520355505484,14,-0.07095669647932037,-0.7700200129065821,9
2023.0,PP Shaw,-0.2974950608100307,8,-0.27496152190420964,,0
2023.0,Aman Hakim Khan,-0.30702801484113457,10,-0.5697859873243113,,0
2023.0,Abdul Samad,-0.3242266743585835,8,-0.40264489317098345,,0
2023.0,SM Curran,-0.3344510060760258,14,-0.24385930960107652,-0.43738779012737855,14
2023.0,HR Shokeen,-0.3505640809579149,8,-0.11629635827642743,-0.9031910489314889,8
2023.0,HC Brook,-0.356794376214389,11,-0.38263594916661564,,0
2023.0,TU Deshpande,-0.3601547315995369,16,-0.013959457832388923,-0.3087693462266278,16
2023.0,A Badoni,-0.3627097683952913,12,-0.3623774199820593,,0
2023.0,Avesh Khan,-0.38759472661397604,9,-0.024816813924246995,-0.5032767622550759,9
2023.0,UT Yadav,-0.4383891830278589,8,-0.21209588206066857,-0.40309769993142197,8
2023.0,MK Pandey,-0.5753033305528451,9,-0.6552583438422953,,0
2023.0,Mukesh Kumar,-0.5809530210505909,10,-0.1225116287797721,-0.38873190137305735,10
2023.0,Shahbaz Ahmed,-0.5966976907813462,9,-0.2692503638845696,-0.9368781512918775,5
2023.0,KL Rahul,-0.8626401911286776,9,-1.0218156097147622,,0
2023.0,Umran Malik,-0.9259666415395209,8,0.1187833593658073,-1.1910058195697013,8
2024.0,J Fraser-McGurk,1.8026844517588725,10,1.843795318090009,,0
2024.0,PD Salt,1.1842382217505023,12,1.1795508621851059,,0
